user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,order_Id,visited_At,completed_At,
norway22115,If-Else,Coding,sortaSum,1,2,1,"1,1",64,2023-03-17 13:42:46.009,2023-03-17 13:44:17.104,
norway22115,If-Else,Coding,twoAsOne,1,2,1,"1,1",65,2023-03-17 13:44:18.767,2023-03-17 13:44:45.045,
norway22115,If-Else,Coding,greenTicket,1,4,0.5,"0,0,1,1",66,2023-03-17 13:44:46.28,2023-03-17 13:45:43.415,
norway22115,If-Else,Coding,without2,1,7,0.43,"0,0,1,0,0,1,1",67,2023-03-17 13:45:44.574,2023-03-18 10:45:13.045,
norway22126,Strings,Coding,first_last_swap,1,1,1,1,68,2023-03-17 13:47:09.779,2023-04-05 17:14:54.81,
norway22126,Strings,Coding,end_characters,1,1,1,1,69,2023-03-17 13:47:14.165,2023-04-05 13:43:41.365,
norway22126,If-Else,Coding,sortaSum,1,7,0.14,"0,0,0,0,0,0,1",70,2023-03-17 13:47:32.402,2023-03-17 14:01:42.761,
norway22115,If-Else,Coding,in1To10,1,6,0.67,"1,0,1,1,0,1",71,2023-03-17 13:50:35.606,2023-03-17 13:50:57.545,
norway22130,Variables and Operations,Coding,second_in_days,1,1,1,1,72,2023-03-17 13:56:47.48,2023-03-17 13:58:14.4,
norway22130,Variables and Operations,Coding,rectangle_perimeter,1,1,1,1,73,2023-03-17 13:58:18.091,2023-03-17 13:58:49.864,
norway22130,Variables and Operations,Coding,compute_average,1,1,1,1,74,2023-03-17 13:58:56.551,2023-03-17 14:00:02.461,
norway22130,Variables and Operations,Coding,days_to_week_conversion,1,1,1,1,75,2023-03-17 14:00:06.796,2023-03-17 14:00:28.22,
norway22130,Variables and Operations,Coding,percentage_correctness,1,1,1,1,76,2023-03-17 14:00:28.645,2023-03-17 14:01:02.701,
norway22126,If-Else,Coding,twoAsOne,1,5,0.2,"0,0,0,0,1",77,2023-03-17 14:03:51.008,2023-04-05 14:37:53.235,
norway22127,Variables and Operations,Coding,second_in_days,1,1,1,1,78,2023-03-17 14:08:47.461,2023-03-17 14:19:59.792,
norway22127,Variables and Operations,Coding,rectangle_perimeter,1,3,0.67,"2000,1,1",79,2023-03-17 14:11:15.15,2023-03-17 14:18:11.133,
norway22127,Variables and Operations,Coding,days_to_week_conversion,1,1,1,1,80,2023-03-17 14:22:22.005,2023-03-17 14:34:37.756,
norway22130,Arrays,Coding,arrays_1,1,4,0.25,"0,0,0,1",81,2023-03-17 14:27:26.145,2023-03-17 14:29:29.188,
norway22127,Variables and Operations,Coding,percentage_correctness,1,3,0.33,"0,0,1",82,2023-03-17 14:34:40.611,2023-03-17 14:36:49.521,
norway22127,Variables and Operations,Coding,compute_average,1,2,0.5,"0,1",83,2023-03-17 14:36:49.934,2023-03-17 14:39:21.752,
norway22130,ArrayLists,Coding,array_lst_1,1,4,0.25,"0,0,0,1",84,2023-03-17 14:45:57.639,2023-03-17 14:49:55.993,
norway22115,Nested Loops,Coding,nested_loops_1,1,6,0.33,"0,0,0,1,0,1",85,2023-03-17 14:49:09.156,2023-03-18 11:01:57.797,
norway22115,Nested Loops,Coding,nested_loops_2,1,2,1,"1,1",86,2023-03-17 14:49:47.991,2023-03-17 14:50:04.794,
norway22115,Arrays,Coding,arrays_1,1,3,0.67,"2000,1,1",87,2023-03-17 14:50:12.431,2023-03-17 14:50:34.862,
norway22115,Arrays,Coding,arrays_2,1,16,0.19,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1",88,2023-03-17 14:50:42.968,2023-03-18 13:46:47.141,
norway22130,Objects and Classes,Coding,object_classes_1,1,2,0.5,"0,1",89,2023-03-17 14:50:53.622,2023-03-19 12:06:31.074,
norway22130,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,6,0.17,"0,0,0,0,0,1",90,2023-03-17 14:51:09.708,2023-03-19 12:11:32.604,
norway22115,Arrays,Coding,arrays_3,1,10,0.3,"0,0,0,0,0,0,0,1,1,1",91,2023-03-17 14:54:18.612,2023-03-18 13:40:07.504,
norway22126,Inheritance,Coding,inheritance_1,1,5,0.2,"0,0,0,0,1",92,2023-03-17 14:54:36.283,2023-04-05 14:01:49.365,
norway22115,Arrays,Coding,array_4,1,11,0.27,"0,0,0,0,0,0,0,1,0,1,1",93,2023-03-17 14:57:08.728,2023-03-18 13:41:29.515,
norway22105,Variables and Operations,Coding,second_in_days,0,7,0,"0,0,0,0,0,0,0",94,2023-03-17 15:23:01.056,#N/A,
norway22116,Variables and Operations,Coding,compute_average,1,1,1,1,95,2023-03-17 15:39:51.012,2023-03-17 15:40:39.867,
norway22116,Strings,Coding,first_half,1,1,1,1,96,2023-03-17 15:40:48.708,2023-03-17 15:41:24.937,
norway22116,Strings,Coding,non_start,1,1,1,1,97,2023-03-17 15:41:46.518,2023-03-17 15:42:32.952,
norway22116,Variables and Operations,Coding,percentage_correctness,1,2,0.5,"0,1",98,2023-03-17 15:42:47.843,2023-03-17 15:43:35.917,
norway22116,Objects and Classes,Coding,object_classes_1,1,37,0.03,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",99,2023-03-17 15:43:57.218,2023-03-17 15:45:01.29,
norway22116,Boolean Expressions,Coding,love6,1,3,0.33,"0,0,1",100,2023-03-17 15:46:01.275,2023-03-17 15:49:15.587,
norway22116,Boolean Expressions,Coding,is_special,1,5,0.2,"0,0,0,0,1",101,2023-03-17 15:47:06.232,2023-03-17 15:49:02.86,
norway22116,Boolean Expressions,Coding,check_start_end_character,1,2,0.5,"0,1",102,2023-03-17 15:49:16.095,2023-03-17 15:49:54.284,
norway22116,Boolean Expressions,Coding,squirrel_play,0,3,0,"0,0,0",103,2023-03-17 15:49:55.848,#N/A,
norway22116,Objects and Classes,Coding,object_classes_2,1,3,1,"1,1,2001",104,2023-03-17 15:51:52.116,2023-03-17 15:53:00.042,
norway22116,Objects and Classes,Coding,object_classes_3,0,10,0,"0,0,0,0,0,0,0,0,0,0",105,2023-03-17 15:53:24.892,#N/A,
norway22116,Objects and Classes,Coding,object_classes_4,1,8,0.25,"0,0,0,0,1,0,0,1",106,2023-03-17 15:54:41.397,#N/A,
norway22116,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,3,0.33,"0,0,1",107,2023-03-17 15:55:58.864,2023-03-17 15:56:48.479,
norway22116,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,9,0,"0,0,0,0,0,0,0,0,0",108,2023-03-17 15:56:48.505,#N/A,
norway22130,Strings,Coding,first_half,1,1,1,1,109,2023-03-17 16:16:57.506,2023-03-17 16:18:31.699,
norway22130,Strings,Coding,non_start,1,1,1,1,110,2023-03-17 16:19:03.8,2023-03-17 16:21:18.828,
norway22130,Strings,Coding,make_out_word,1,1,1,1,111,2023-03-17 16:21:47.275,2023-03-17 16:22:52.211,
norway22130,Strings,Coding,repeat_last_char,1,1,1,1,112,2023-03-17 16:22:53.836,2023-03-17 16:24:24.412,
norway22130,Strings,Coding,first_last_swap,1,1,1,1,113,2023-03-17 16:24:42.487,2023-03-17 16:26:49.098,
norway22113,While Loops,Coding,while1_coding,1,3,0.67,"1,0,1",114,2023-03-17 18:19:44.459,2023-03-17 20:40:12.215,
norway22127,Boolean Expressions,Coding,love6,1,1,1,1,115,2023-03-17 19:11:01.976,2023-03-17 19:14:39.358,
norway22127,Boolean Expressions,Coding,is_special,1,3,0.33,"0,0,1",116,2023-03-17 19:14:41.822,2023-03-17 19:29:11.38,
norway22127,Boolean Expressions,Coding,check_start_end_character,1,3,0.33,"0,0,1",117,2023-03-17 19:30:30.781,2023-03-17 19:36:04.942,
norway22127,Boolean Expressions,Coding,squirrel_play,1,1,1,1,118,2023-03-17 19:38:19.407,2023-03-17 19:42:55.776,
norway22127,If-Else,Coding,sortaSum,1,1,1,1,119,2023-03-17 19:54:53.713,2023-03-17 19:57:59.417,
norway22127,If-Else,Coding,twoAsOne,1,1,1,1,120,2023-03-17 19:58:35.025,2023-03-17 20:02:57.325,
norway22127,If-Else,Coding,greenTicket,1,1,1,1,121,2023-03-17 20:04:38.142,2023-03-17 20:20:45.512,
norway22103,Variables and Operations,Coding,second_in_days,1,2,0.5,"0,1",122,2023-03-17 20:11:18.766,2023-03-17 20:13:59.417,
norway22103,Variables and Operations,Coding,rectangle_perimeter,1,1,1,1,123,2023-03-17 20:14:07.616,#N/A,
norway22103,Variables and Operations,Coding,days_to_week_conversion,1,1,1,1,124,2023-03-17 20:14:40.64,2023-03-17 20:15:26.687,
norway22103,Variables and Operations,Coding,compute_average,1,1,1,1,125,2023-03-17 20:15:31.149,2023-03-17 20:16:03.445,
norway22103,Variables and Operations,Coding,percentage_correctness,1,1,1,1,126,2023-03-17 20:16:07.496,2023-03-17 20:16:34.574,
norway22127,If-Else,Coding,in1To10,0,3,0,"0,0,0",127,2023-03-17 20:23:04.247,#N/A,
norway22103,Boolean Expressions,Coding,love6,1,3,0.33,"0,0,1",128,2023-03-17 20:39:09.523,2023-03-17 20:41:31.593,
norway22103,Boolean Expressions,Coding,is_special,1,1,1,1,129,2023-03-17 20:41:39.999,2023-03-17 20:42:29.366,
norway22103,Inheritance,Coding,inheritance_1,1,1,1,1,130,2023-03-17 20:45:14.45,2023-03-17 20:46:52.601,
norway22103,Inheritance,Coding,inheritance_2,1,3,1,"1,1,2001",131,2023-03-17 20:46:52.823,#N/A,
norway22103,ArrayLists,Coding,array_lst_1,1,1,1,1,132,2023-03-17 20:49:11.879,2023-03-17 20:50:09.102,
norway22103,Objects and Classes,Coding,object_classes_1,1,2,0.5,"0,1",133,2023-03-17 20:52:13.971,2023-03-17 20:53:32.329,
norway22103,Objects and Classes,Coding,object_classes_2,1,1,1,1,134,2023-03-17 20:53:36.236,2023-03-17 20:54:18.127,
norway22108,Boolean Expressions,Coding,love6,1,5,0.2,"0,0,0,0,1",135,2023-03-17 21:11:39.12,2023-03-20 01:25:46.851,
norway22108,Variables and Operations,Coding,second_in_days,0,6,0,"0,0,0,0,0,0",136,2023-03-17 21:18:28.557,#N/A,
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,3,0.33,"0,0,1",137,2023-03-17 21:23:40.004,2023-03-17 21:25:53.309,
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,1,4,0.25,"0,0,0,1",138,2023-03-17 21:26:01.254,2023-03-20 01:14:13.307,
norway22114,Strings,Coding,first_half,1,4,0.25,"0,0,0,1",139,2023-03-17 23:21:06.338,2023-03-17 23:28:43.865,
norway22114,Strings,Coding,non_start,1,2,0.5,"0,1",140,2023-03-17 23:28:48.417,2023-03-17 23:33:11.449,
norway22114,Strings,Coding,make_out_word,1,2,0.5,"0,1",141,2023-03-17 23:33:11.926,2023-03-17 23:38:43.888,
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,1,1,1,142,2023-03-18 10:30:14.583,2023-03-18 12:20:49.004,
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,1,1,1,1,143,2023-03-18 10:31:50.242,2023-03-18 13:29:39.995,
norway22115,While Loops,Coding,while1_coding,1,2,1,"1,1",144,2023-03-18 10:45:27.367,2023-03-18 10:46:12.41,
norway22115,While Loops,Coding,while2_coding,1,2,1,"1,1",145,2023-03-18 10:46:29.12,2023-03-18 10:46:44.126,
norway22115,While Loops,Coding,while3_coding,1,2,1,"1,1",146,2023-03-18 10:46:44.678,2023-03-18 10:47:00.112,
norway22115,While Loops,Coding,while4_coding,1,2,1,"1,1",147,2023-03-18 10:47:06.117,2023-03-18 10:47:17.991,
norway22115,While Loops,Coding,while5_coding,1,2,1,"1,1",148,2023-03-18 10:47:25.65,2023-03-18 10:47:34.845,
norway22115,While Loops,Coding,smallest_integer,1,2,1,"1,1",149,2023-03-18 10:47:36.969,2023-03-18 10:48:01.231,
norway22115,For Loops,Coding,for1_coding,1,3,0.67,"2000,1,1",150,2023-03-18 10:48:15.499,2023-03-18 10:49:36.407,
norway22115,For Loops,Coding,for2_coding,1,6,0.33,"0,0,0,1,0,1",151,2023-03-18 10:49:41.373,2023-03-18 10:51:30.574,
norway22115,For Loops,Coding,for3_coding,1,2,1,"1,1",152,2023-03-18 10:51:30.8,2023-03-18 10:51:55.748,
norway22115,For Loops,Coding,for4_coding,1,2,1,"1,1",153,2023-03-18 10:51:55.659,2023-03-18 10:52:23.434,
norway22115,For Loops,Coding,sum_square_difference,1,32,0.09,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1",154,2023-03-18 10:52:23.36,2023-03-19 15:51:19.765,
norway22115,Nested Loops,Coding,symmetrical_array,1,103,0.03,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1",155,2023-03-18 11:02:08.243,2023-03-19 17:42:56.142,
norway22115,Arrays,Coding,fixing_order_of_numbers,1,9,0.22,"1,0,0,0,0,0,0,0,1",156,2023-03-18 11:04:43.037,2023-03-18 14:04:15.322,
norway22113,While Loops,Coding,while2_coding,1,1,1,1,157,2023-03-18 12:06:42.954,2023-03-18 12:07:59.451,
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,1,15,0.07,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",158,2023-03-18 12:20:51.763,#N/A,
norway22113,While Loops,Coding,while3_coding,1,7,0.14,"0,0,0,0,0,0,1",159,2023-03-18 12:43:38.481,2023-03-18 15:02:01.8,
norway22115,For Loops,Coding,largest_prime_factor,1,3,0.67,"1,0,1",160,2023-03-18 13:31:02.714,2023-03-18 13:34:27.297,
norway22115,For Loops,Coding,largest_palindrome_product,1,32,0.09,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1",161,2023-03-18 13:34:27.71,2023-03-19 15:22:11.864,
norway22134,Variables and Operations,Coding,second_in_days,1,1,1,1,162,2023-03-18 14:36:18.965,2023-03-18 14:37:16.171,
norway22134,Variables and Operations,Coding,rectangle_perimeter,1,1,1,1,163,2023-03-18 14:37:17.062,2023-03-18 14:37:51.515,
norway22134,Variables and Operations,Coding,days_to_week_conversion,1,1,1,1,164,2023-03-18 14:37:51.642,2023-03-18 14:38:40.872,
norway22134,Variables and Operations,Coding,percentage_correctness,1,10,0.1,"0,0,0,0,0,0,0,0,0,1",165,2023-03-18 14:38:56.606,2023-03-18 14:41:42.454,
norway22134,Variables and Operations,Coding,compute_average,1,1,1,1,166,2023-03-18 14:41:45.951,2023-03-18 14:42:39.323,
norway22134,Objects and Classes,Coding,object_classes_1,1,1,1,1,167,2023-03-18 14:45:15.329,2023-03-18 14:46:52.655,
norway22134,Objects and Classes,Coding,object_classes_2,1,1,1,1,168,2023-03-18 14:46:53.26,2023-03-18 14:48:12.219,
norway22134,Objects and Classes,Coding,object_classes_3,1,1,1,1,169,2023-03-18 14:48:12.715,2023-03-18 14:49:21.955,
norway22134,Objects and Classes,Coding,object_classes_4,1,2,0.5,"0,1",170,2023-03-18 14:49:22.309,2023-03-18 14:52:11.063,
norway22134,ArrayLists,Coding,array_lst_1,1,1,1,1,171,2023-03-18 14:52:24.521,2023-03-18 14:54:47.9,
norway22134,Inheritance,Coding,inheritance_1,1,1,1,1,172,2023-03-18 14:54:59.646,2023-03-18 15:00:59.587,
norway22134,Inheritance,Coding,inheritance_2,1,1,1,1,173,2023-03-18 15:00:59.97,2023-03-18 15:02:59.493,
norway22113,While Loops,Coding,while4_coding,1,4,0.25,"0,0,0,1",174,2023-03-18 15:02:05.466,2023-03-18 15:04:52.413,
norway22134,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,2,0.5,"0,1",175,2023-03-18 15:03:08.585,2023-03-18 15:05:22.991,
norway22113,While Loops,Coding,while5_coding,1,10,0.1,"0,0,0,0,0,0,0,0,0,1",176,2023-03-18 15:04:52.088,2023-03-18 15:09:03.296,
norway22134,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,1,1,1,1,177,2023-03-18 15:05:44.685,2023-03-18 15:07:33.727,
norway22134,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,1,1,1,1,178,2023-03-18 15:07:34.024,2023-03-18 15:08:48.768,
norway22113,While Loops,Coding,smallest_integer,1,6,0.17,"0,0,0,0,0,1",179,2023-03-18 15:09:03.147,2023-03-18 15:13:34.636,
norway22113,For Loops,Coding,for1_coding,1,1,1,1,180,2023-03-18 15:13:38.96,2023-03-18 15:13:56.058,
norway22113,For Loops,Coding,for2_coding,1,2,0.5,"0,1",181,2023-03-18 15:13:55.769,2023-03-18 15:14:45.933,
norway22113,For Loops,Coding,for3_coding,1,2,0.5,"0,1",182,2023-03-18 15:14:45.589,2023-03-18 15:15:30.116,
norway22113,For Loops,Coding,for4_coding,1,1,1,1,183,2023-03-18 15:15:29.947,2023-03-18 15:15:52.638,
norway22113,For Loops,Coding,sum_square_difference,1,9,0.11,"0,0,0,0,0,0,0,0,1",184,2023-03-18 15:15:54.388,2023-03-18 15:19:39.866,
norway22113,For Loops,Coding,largest_prime_factor,1,2,0.5,"0,1",185,2023-03-18 15:19:39.544,2023-03-18 15:20:44.823,
norway22113,For Loops,Coding,largest_palindrome_product,1,5,0.2,"0,0,0,0,1",186,2023-03-18 15:20:44.587,2023-03-18 15:24:49.522,
norway22113,Objects and Classes,Coding,object_classes_1,1,2,0.5,"0,1",187,2023-03-18 16:16:42.593,2023-03-18 16:18:06.87,
norway22113,Objects and Classes,Coding,object_classes_2,1,3,0.33,"0,0,1",188,2023-03-18 16:18:06.962,2023-03-18 16:19:18.541,
norway22113,Objects and Classes,Coding,object_classes_3,1,2,0.5,"0,1",189,2023-03-18 16:36:32.022,2023-03-18 16:38:07.945,
norway22113,Objects and Classes,Coding,object_classes_4,1,1,1,1,190,2023-03-18 16:38:09.571,2023-03-18 16:39:34.771,
